Sales Org,Sales Org Name,Distribution Channel,Customer Code,Customer Name,Customer City,Paymnt Reciept(CR),Reversal Doc Value,Total Outstanding
1000,Domestic Sales HRIPL,90,0000001000,HYGIENIC RESEARCH INSTITUTE PVT. LT,MUMBAI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000001110,HYGIENIC RESEARCH INSTITUTE PVT. LT,MUMBAI,0.00,0.00,203.70
1000,Domestic Sales HRIPL,90,0000001120,HYGIENIC RESEARCH INSTITUTE PVT. LT,MUMBAI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000001220,HYGIENIC RESEARCH INSTITUTE PVT LTD,BHIWANDI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000001240,HYGIENIC RESEARCH INSTITUTE PVT. LT,ZIRAKPUR,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000002001,HYGIENIC RESEARCH INSTITUTE PVT. LT,CHENNAI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000002021,HYGIENIC RESEARCH INSTITUTE PVT. LT,BHIWANDI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000002022,HYGIENIC RESEARCH INSTITUTE PVT. LT,NAGPUR,0.00,0.00,59.00
1000,Domestic Sales HRIPL,90,0000080000,HYGIENIC RESEARCH INSTITUTE PVT. LT,MUMBAI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000080010,HYGIENIC RESEARCH INSTITUTE PVT. LT,MUMBAI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000080011,HYGIENIC RESEARCH INSTITUTE PVT. LT,ZIRAKPUR,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000080012,HYGIENIC RESEARCH INSTITUTE PVT. LT,CHENNAI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,90,0000080013,HYGIENIC RESEARCH INSTITUTE PVT. LT,NEW DELHI,0.00,0.00,0.00
1500,Export Sales HRIPL,10,0000200001,AL HATRASHI FOR IMPORT,YEMEN,0.00,0.00,0.00
1500,Export Sales HRIPL,05,0000200014,JAY DEE INTERNATIONAL TRADERS LTd12,BANGKOK,0.00,0.00,4301.14-
,,,0000200021,QUALITY NATURAL FOODS LTD.,,CANADA,0.00,0.00,0.00
1000,Domestic Sales HRIPL,05,0010000001,BELA STORES - INTERSTATE,BEHRAMPORE,0.00,0.00,11643.60
1000,Domestic Sales HRIPL,10,0010000011,CHOWDHURY AND SONS,AGARTALA,0.00,0.00,2537.96
1000,Domestic Sales HRIPL,15,0010000012,JAIN TRADING COMPANY,LUCKNOW,0.00,0.00,0.00
1000,Domestic Sales HRIPL,20,0010000013,A.M.ENTERPRISES,JAIPUR,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000014,ROHAN MARKETING (R),GUWAHATI,0.00,0.00,1656776.42-
1000,Domestic Sales HRIPL,05,0010000015,HASANRAJA SCRAP TRADERS,GUWAHATI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,25,0010000016,SUB CANTEEN BHANDARA POLICE,BHANDARA,0.00,0.00,0.00
1000,Domestic Sales HRIPL,35,0010000017,UNITED ENTERPRISES,CHANDIGARH,0.00,0.00,0.00
1000,Domestic Sales HRIPL,40,0010000018,ANR DISTRIBUTORS INDIA C&F LLP,THANE,0.00,0.00,21500.00-
2012,HRIPL - LUCKNOW - RT,11,0010000019,ADINATH MARKETING,NAGPUR,0.00,0.00,354.00
1000,Domestic Sales HRIPL,20,0010000031,PADMAVATI MARKETING,NAGPUR,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000032,BELA STORES - INTERSTATE SALES,BEHRAMPORE,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000042,BELA STORES - INTERSTATE SALES,BEHRAMPORE,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000043,BELA STORES - INTERSTATE SALES,BEHRAMPORE,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000044,BELA STORES - INTERSTATE SALES,BEHRAMPORE,0.00,0.00,400.00-
,,,0010000045,BELA STORES - INTERSTATE SALES,BEHRAMPORE,0.00,0.00,0.00
,,,0010000046,JIYA COSMETICS,SILIGURI,0.00,0.00,0.00
,,,0010000047,ROHAN MARKETING (P),GUWAHATI,0.00,0.00,0.00
,,,0010000048,ROHAN MARKETING (P).,GUWAHATI,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000049,LIGHTHOUSE LEARNING PRIVATED LTD.,SANTACRUZ,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000050,LIGHTHOUSE LEARNING PRIVATED LTD.,SANTACRUZ,0.00,0.00,0.00
,,,0010000051,GYANIRAM HANUMAN BUX.,COOCHBEHAR,0.00,0.00,0.00
,,,0010000052,KUNDE ASSOCIATES,FATORDA,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000056,BLUE WATER EXPOTRADE INDIA PVT LTD,DELHI,0.00,0.00,0.00
,,,0010000057,MAHABHIR ENTERPRISE,BALLY,0.00,0.00,0.00
1000,Domestic Sales HRIPL,20,0010000058,MAHABHIR ENTERPRISE,BALLY,0.00,0.00,0.00
,,,0010000059,KUNDE ASSOCIATES,FATORDA,0.00,0.00,0.00
,,,0010000060,KUNDE ASSOCIATES,FATORDA,0.00,0.00,0.00
,,,0010000061,KUNDE ASSOCIATES,FATORDA,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000062,BELA STORES - INTERSTATE SALES,BEHRAMPORE,0.00,0.00,0.00
1000,Domestic Sales HRIPL,10,0010000063,BELA STORES - INTERSTATE SALES,BEHRAMPORE,0.00,0.00,0.00
