Sales Org,Sales Org Desc,Type Of Party,Customer Code,Customer Name,Distribution Channel,Distribution Channel Desc,01-Thursday,02-Friday,03-Saturday,04-Sunday,05-Monday,06-Tuesday,07-Wednesday,08-Thursday,09-Friday,10-Saturday,11-Sunday,12-Monday,13-Tuesday,14-Wednesday,15-Thursday,16-Friday,17-Saturday,18-Sunday,19-Monday,20-Tuesday,21-Wednesday,22-Thursday,23-Friday,24-Saturday,25-Sunday,26-Monday,27-Tuesday,28-Wednesday,29-Thursday,30-Friday,31-Saturday,Sales Value @ Std Selling Price
1000,Domestic Sales HRIPL,DIRECT PARTY,10000092,ROHAN MARKETING (R),10,Retail - General Trd,0.00,114.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2830077.03-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2829962.050-
1000,Domestic Sales HRIPL,DIRECT PARTY,10000393,L.K AGENCY,10,Retail - General Trd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,633315.58-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,633315.580-
2001,HRIPL - CHENNAI,CSA,20010015,MAHAVEER AGENCIES,10,Retail - General Trd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30754.62-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30754.620-
2001,HRIPL - CHENNAI,CSA,20010291,VALLI ENTERPRISES,10,Retail - General Trd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177354.04-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177354.040-
2001,HRIPL - CHENNAI,CSA,20010339,A.S.ENTERPRISES 1,10,Retail - General Trd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2722.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2722.500
2006,HRIPL - AHMEDABAD-RT,CSA,20060218,DIVYASIDDHI,20,Professional,22887.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22887.000
2007,HRIPL - CUTTACK,CSA,20070010,BIDYA AGENCY,10,Retail - General Trd,0.00,0.00,5702.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5702.400
2007,HRIPL - CUTTACK,CSA,20070013,CUTTACK MATCH SUPPLY CO.,10,Retail - General Trd,0.00,0.00,5702.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5702.400
2007,HRIPL - CUTTACK,CSA,20070014,DHANALAXMI ENTERPRISES,10,Retail - General Trd,0.00,0.00,5702.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5702.400
2007,HRIPL - CUTTACK,CSA,20070148,PANKAJ ENTERPRISES,10,Retail - General Trd,0.00,0.00,5702.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5702.400
